DATE	Puits	ACTIVITE	SOUS ACTIVITE	Heure de fermeture	Heure d'ouverture	Débit initail 	Débit après trvx 
02/01/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	9:00	10:05	1105	1020
03/01/2023	LNB712-CE	CTU	Clean Out	11:55	13:10	985	1400
04/01/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	10:30	12:10	1380	1310
15/01/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	8:00	9:30	1103	1144
15/01/2023	LNB712-CE	CTU	Clean Out	12:15	13:15	1144	1414
25/01/2023	LNB712-CE	CTU	Clean Out	12:00	14:00	1127	1384
29/01/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	14:10	14:50	1380	1310
06/02/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	8:20	9:10	875	844
06/02/2023	LNB712-CE	CTU	Clean Out	10:50	11:05	844	853
06/02/2023	LNB712-CE	CTU	Clean Out	13:00	14:00	853	1335
07/02/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	15:20	16:15	1316	1244
18/02/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	7:45	9:00	871	825
18/02/2023	LNB712-CE	CTU	Clean Out	11:40	12:45	825	1320
22/02/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	15:40	16:20	1304	1230
01/03/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	8:10	9:10	835	875
01/03/2023	LNB712-CE	CTU	Clean Out	14:10	15:05	875	1320
12/03/2023	LNB712-CE	CTU	Clean Out	9:15	10:30	988	1390
15/03/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	11:45	12:40	1367	1294
18/03/2023	LNB712-CE	RESEAU DE COLLECTE	Arrêt Collecteur	11:50	14:40	1289	1258
25/03/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	8:05	8:50	970	981
25/03/2023	LNB712-CE	CTU	Clean Out	12:00	13:00	981	1389
04/04/2023	LNB712-CE	CTU	Clean Out	10:10	11:10	1124	1379
14/04/2023	LNB712-CE	CTU	Clean Out	9:40	11:00	1025	1354
17/04/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	11:15	12:05	1343	1285
23/04/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	7:35	8:40	1275	1355
26/04/2023	LNB712-CE	CTU	Clean Out	11:30	13:30	1008	1375
28/04/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	9:30	10:40	1360	1286
09/05/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	7:55	9:00	1160	1166
10/05/2023	LNB712-CE	CTU	Clean Out	10:50	13:05	1107	1000
10/05/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	15:15	15:40	1000	1300
12/05/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	9:15	9:50	1266	1220
23/05/2023	LNB712-CE	MAINTENANCE SURFACE	Intervention Sur Système De Sécurité De Surface	18:10	18:30	1188	1202
26/05/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	9:25	10:05	1130	1161
26/05/2023	LNB712-CE	CTU	Clean Out	11:45	14:45	1161	1322
02/06/2023	LNB712-CE	CTU	Clean Out	10:00	10:50	1193	1341
04/06/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	9:00	10:00	1328	1246
13/06/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	7:40	8:50	1066	1285
14/06/2023	LNB712-CE	CTU	Clean Out	9:20	10:50	1015	1338
15/06/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	16:30	17:05	1330	1259
25/06/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	7:30	8:45	1175	1270
27/06/2023	LNB712-CE	CTU	Clean Out	9:10	9:50	1097	1366
28/06/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	9:55	11:00	1341	1275
05/07/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	9:10	10:10	936	940
05/07/2023	LNB712-CE	CTU	Clean Out	13:15	14:10	940	1355
15/07/2023	LNB712-CE	CTU	Clean Out	9:35	10:30	1025	1339
24/07/2023	LNB712-CE	CTU	Clean Out	10:00	10:40	1061	1336
25/07/2023	LNB712-CE	RESEAU DE COLLECTE	Banalisation	9:10	11:00	1327	1073
03/08/2023	LNB712-CE	CTU	Clean Out	9:55	10:55	936	1206
04/08/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	9:55	11:00	1182	1125
14/08/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	7:45	8:45	1013	1008
15/08/2023	LNB712-CE	CTU	Clean Out	9:45	10:25	900	1184
16/08/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	9:00	9:55	1180	1120
25/08/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	8:30	9:10	971	1020
25/08/2023	LNB712-CE	CTU	Clean Out	12:15	13:10	1020	1179
03/09/2023	LNB712-CE	CTU	Clean Out	9:20	10:15	835	1201
13/09/2023	LNB712-CE	CTU	Clean Out	11:00	11:50	887	1196
22/09/2023	LNB712-CE	CTU	Clean Out	11:35	12:35	804	1161
24/09/2023	LNB712-CE	RESEAU DE COLLECTE	Banalisation	10:25	10:55	1175	1316
30/09/2023	LNB712-CE	CTU	Clean Out	12:35	13:15	970	1315
09/10/2023	LNB712-CE	CTU	Clean Out	9:15	10:45	1167	1320
10/10/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	8:25	9:05	1322	1247
17/10/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	8:10	9:10	1098	1101
18/10/2023	LNB712-CE	CTU	Clean Out	11:45	12:40	975	1322
19/10/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	9:10	9:35	1319	1245
27/10/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	8:40	9:10	906	948
27/10/2023	LNB712-CE	CTU	Clean Out	16:20	17:20	906	1316
