DATE	Puits	ACTIVITE	SOUS ACTIVITE	Heure de fermeture	Heure d'ouverture	Débit initail 	Débit après trvx 	Observation
02/01/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	9:00	10:05	1105	1020	En vue Clean Out
03/01/2023	LNB712-CE	CTU	Clean Out	11:55	13:10	985	1400	
04/01/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	10:30	12:10	1380	1310	
04/01/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	8:45	10:25	747	805	
04/01/2023	LNB234-CE	CTU	Clean Out	12:35	14:00	805	990	
05/01/2023	LNB627-CE	SLICKLINE	Retrait Storm Choke	8:05	9:00	748	791	
05/01/2023	LNB627-CE	CTU	Clean Out	12:05	13:15	791	1080	
05/01/2023	LNB234-CE	SLICKLINE	Pose Storm Choke	10:05	11:25	978	910	
07/01/2023	LNB627-CE	SLICKLINE	Pose Storm Choke	13:20	14:20	1050	1025	
07/01/2023	LNB136-CE	SLICKLINE	Retrait Storm Choke	12:20	13:10	1120	1106	En vue Clean Out
08/01/2023	LNB136-CE	CTU	Clean Out	10:20	11:20	1190	1296	
11/01/2023	LNB627-CE	SLICKLINE	Retrait Storm Choke	8:10	9:05	776	840	En vue Clean Out 
11/01/2023	LNB136-CE	SLICKLINE	Pose Storm Choke	9:05	11:00	1329	1200	
12/01/2023	LNB627-CE	POMPAGE	Bullheading Pour Nettoyage	10:05	12:00	815	1010	
12/01/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	10:10	11:25	705	700	En vue Clean Out 
13/01/2023	LNB234-CE	CTU	Clean Out	9:55	12:25	718	717	
13/01/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	14:45	16:00	717	900	
14/01/2023	LNB627-CE	SLICKLINE	Pose Storm Choke	9:45	10:35	1000	955	
15/01/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	8:00	9:30	1103	1144	En vue Clean Out 
15/01/2023	LNB712-CE	CTU	Clean Out	12:15	13:15	1144	1414	
16/01/2023	LNB234-CE	SLICKLINE	Pose Storm Choke	9:05	10:10	885	840	
17/01/2023	LNB627-CE	SLICKLINE	Retrait Storm Choke	8:00	8:50	816	820	En vue Clean Out 
17/01/2023	LNB627-CE	CTU	Clean Out	11:35	12:40	820	1006	
17/01/2023	LNB136-CE	SLICKLINE	Retrait Storm Choke	9:40	10:30	1068	1103	En vue Clean Out 
18/01/2023	LNB136-CE	CTU	Clean Out	12:45	14:10	1145	1334	
19/01/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	9:50	10:25	691	733	En vue Clean Out 
20/01/2023	LNB234-CE	CTU	Clean Out	12:00	15:00	707	962	
22/01/2023	LNB627-CE	CTU	Clean Out	12:40	13:50	742	1036	
22/01/2023	LNB136-CE	MAINTENANCE SURFACE	Graissage Des Vannes					
23/01/2023	LNB627-CE	SLICKLINE	Pose Storm Choke	9:40	10:10	998	973	
25/01/2023	LNB712-CE	CTU	Clean Out	12:00	14:00	1127	1384	
25/01/2023	LNB136-CE	CTU	Clean Out	14:25	16:10	973	1338	
28/01/2023	LNB627-CE	SLICKLINE	Retrait Storm Choke	8:15	8:50	710	742	En vue Clean Out 
28/01/2023	LNB627-CE	CTU	Clean Out	12:05	13:20	742	1035	
29/01/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	14:10	14:50	1380	1310	
30/01/2023	LNB234-CE	CTU	Clean Out	10:40	11:25	733	1007	
31/01/2023	LNB234-CE	SLICKLINE	Pose Storm Choke	12:05	12:50	996	908	
01/02/2023	LNB136-CE	CTU	Clean Out	10:55	12:20	1130	1317	
02/02/2023	LNB136-CE	SLICKLINE	Pose Storm Choke	10:00	10:40	1340	1180	
03/02/2023	LNB627-CE	CTU	Clean Out	11:00	11:55	669	1010	
