Timestamp,Well,Forecast Horizon,Current DG (M3/h),Predicted DG (M3/h),Absolute Difference,Percentage Change (%)
2023-12-31 21:06:00,LNB712-CE,6 Hours,873.89,881.8,7.91,+0.91%
2023-12-31 21:04:00,LNB712-CE,6 Hours,873.89,881.79,7.9,+0.90%
2023-12-31 21:02:00,LNB712-CE,6 Hours,873.89,881.78,7.89,+0.90%
2023-12-31 21:00:00,LNB712-CE,6 Hours,873.89,881.77,7.88,+0.90%
2023-12-31 21:04:00,LNB712-CE,6 Hours,873.89,883.35,9.46,+1.08%
2023-12-31 21:02:00,LNB712-CE,6 Hours,873.89,884.23,10.34,+1.18%
2023-12-31 21:00:00,LNB712-CE,6 Hours,873.89,884.2,10.31,+1.18%
2023-12-31 21:04:00,LNB712-CE,6 Hours,873.89,882.54,8.65,+0.99%
2023-12-31 21:02:00,LNB712-CE,6 Hours,873.89,882.54,8.65,+0.99%
2023-12-31 21:00:00,LNB712-CE,6 Hours,873.89,882.55,8.66,+0.99%
2023-12-31 21:40:00,LNB712-CE,6 Hours,875.48,882.52,7.04,+0.80%
2023-12-31 21:38:00,LNB712-CE,6 Hours,875.48,882.53,7.05,+0.81%
2023-12-31 21:36:00,LNB712-CE,6 Hours,875.48,882.54,7.06,+0.81%
2023-12-31 21:34:00,LNB712-CE,6 Hours,875.48,882.55,7.07,+0.81%
2023-12-31 21:32:00,LNB712-CE,6 Hours,875.48,882.57,7.09,+0.81%
2023-12-31 21:30:00,LNB712-CE,6 Hours,875.48,882.57,7.09,+0.81%
2023-12-31 21:28:00,LNB712-CE,6 Hours,875.48,882.56,7.08,+0.81%
2023-12-31 21:26:00,LNB712-CE,6 Hours,871.48,882.56,11.08,+1.27%
2023-12-31 21:24:00,LNB712-CE,6 Hours,871.48,882.57,11.09,+1.27%
2023-12-31 21:22:00,LNB712-CE,6 Hours,871.48,882.57,11.09,+1.27%
2023-12-31 21:20:00,LNB712-CE,6 Hours,871.48,882.54,11.06,+1.27%
2023-12-31 21:18:00,LNB712-CE,6 Hours,871.48,882.53,11.05,+1.27%
2023-12-31 21:16:00,LNB712-CE,6 Hours,871.48,882.53,11.05,+1.27%
2023-12-31 21:14:00,LNB712-CE,6 Hours,871.48,882.52,11.04,+1.27%
2023-12-31 21:12:00,LNB712-CE,6 Hours,871.48,882.52,11.04,+1.27%
2023-12-31 21:10:00,LNB712-CE,6 Hours,873.89,882.53,8.64,+0.99%
2023-12-31 21:08:00,LNB712-CE,6 Hours,873.89,882.54,8.65,+0.99%
2023-12-31 21:06:00,LNB712-CE,6 Hours,873.89,882.54,8.65,+0.99%
2023-12-31 21:04:00,LNB712-CE,6 Hours,873.89,882.54,8.65,+0.99%
2023-12-31 21:02:00,LNB712-CE,6 Hours,873.89,882.54,8.65,+0.99%
2023-12-31 21:00:00,LNB712-CE,6 Hours,873.89,882.55,8.66,+0.99%
2023-12-31 21:10:00,LNB712-CE,6 Hours,873.89,882.53,8.64,+0.99%
2023-12-31 21:08:00,LNB712-CE,6 Hours,873.89,882.54,8.65,+0.99%
2023-12-31 21:06:00,LNB712-CE,6 Hours,873.89,882.54,8.65,+0.99%
2023-12-31 21:04:00,LNB712-CE,6 Hours,873.89,886.09,12.2,+1.40%
2023-12-31 21:02:00,LNB712-CE,6 Hours,873.89,886.05,12.16,+1.39%
2023-12-31 21:00:00,LNB712-CE,6 Hours,873.89,886.01,12.12,+1.39%
2023-12-31 21:00:00,LNB712-CE,6 Hours,873.89,886.01,12.12,+1.39%
